"SYMBOL","ENTREZID","ENSEMBL","GENENAME"
"EPOR","2057","ENSG00000187266","erythropoietin receptor"
"ERCC3","2071","ENSG00000163161","ERCC excision repair 3, TFIIH core complex helicase subunit"
"ERCC5","2073","ENSG00000134899","ERCC excision repair 5, endonuclease"
"ERCC6","2074","ENSG00000225830","ERCC excision repair 6, chromatin remodeling factor"
"ETFA","2108","ENSG00000140374","electron transfer flavoprotein subunit alpha"
"EXT1","2131","ENSG00000182197","exostosin glycosyltransferase 1"
"F13A1","2162","ENSG00000124491","coagulation factor XIII A chain"
"F5","2153","ENSG00000198734","coagulation factor V"
"FANCA","2175","ENSG00000187741","FA complementation group A"
"FANCC","2176","ENSG00000158169","FA complementation group C"
"FAH","2184","ENSG00000103876","fumarylacetoacetate hydrolase"
"FBN1","2200","ENSG00000166147","fibrillin 1"
"MS4A2","2206","ENSG00000149534","membrane spanning 4-domains A2"
"FECH","2235","ENSG00000066926","ferrochelatase"
"FH","2271","ENSG00000091483","fumarate hydratase"
"FXN","2395","ENSG00000165060","frataxin"
"FTL","2512","ENSG00000087086","ferritin light chain"
"FUCA1","2517","ENSG00000179163","alpha-L-fucosidase 1"
"GAA","2548","ENSG00000171298","alpha glucosidase"
"GALC","2581","ENSG00000054983","galactosylceramidase"
"GALK1","2584","ENSG00000108479","galactokinase 1"
"GALT","2592","ENSG00000213930","galactose-1-phosphate uridylyltransferase"
"GAMT","2593","ENSG00000130005","guanidinoacetate N-methyltransferase"
"GBA",NA,NA,NA
"GBE1","2632","ENSG00000114480","1,4-alpha-glucan branching enzyme 1"
"GCDH","2639","ENSG00000105607","glutaryl-CoA dehydrogenase"
"GCH1","2643","ENSG00000131979","GTP cyclohydrolase 1"
"GIPR","2696","ENSG00000010310","gastric inhibitory polypeptide receptor"
"GK","2710","ENSG00000198814","glycerol kinase"
"GLA","2717","ENSG00000102393","galactosidase alpha"
"GLDC","2731","ENSG00000178445","glycine decarboxylase"
"GP1BA","2811","ENSG00000185245","glycoprotein Ib platelet subunit alpha"
"GP9","2815","ENSG00000169704","glycoprotein IX platelet"
"GPI","2821","ENSG00000105220","glucose-6-phosphate isomerase"
"NR3C1","2908","ENSG00000113580","nuclear receptor subfamily 3 group C member 1"
"GSS","2937","ENSG00000100983","glutathione synthetase"
"MSH6","2956","ENSG00000116062","mutS homolog 6"
"GUSB","2990","ENSG00000169919","glucuronidase beta"
"HADHA","3030","ENSG00000084754","hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha"
"HADHB","3032","ENSG00000138029","hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit beta"
"HBG2","3048","ENSG00000196565","hemoglobin subunit gamma 2"
"CFH","3075","ENSG00000000971","complement factor H"
"HGD","3081","ENSG00000113924","homogentisate 1,2-dioxygenase"
"HK1","3098","ENSG00000156515","hexokinase 1"
"HK2","3099","ENSG00000159399","hexokinase 2"
"HMBS","3145","ENSG00000256269","hydroxymethylbilane synthase"
"HMGCL","3155","ENSG00000117305","3-hydroxy-3-methylglutaryl-CoA lyase"
"HPRT1","3251","ENSG00000165704","hypoxanthine phosphoribosyltransferase 1"
"HPS1","3257","ENSG00000107521","HPS1 biogenesis of lysosomal organelles complex 3 subunit 1"
"SGSH","6448","ENSG00000181523","N-sulfoglucosamine sulfohydrolase"
"ICAM1","3383","ENSG00000090339","intercellular adhesion molecule 1"
"IDS","3423","ENSG00000010404","iduronate 2-sulfatase"
"IDUA","3425","ENSG00000127415","alpha-L-iduronidase"
"IL2RG","3561","ENSG00000147168","interleukin 2 receptor subunit gamma"
"INSR","3643","ENSG00000171105","insulin receptor"
"ITGA6","3655","ENSG00000091409","integrin subunit alpha 6"
"ITGB2","3689","ENSG00000160255","integrin subunit beta 2"
"ITGB3","3690","ENSG00000259207","integrin subunit beta 3"
"JAG1","182","ENSG00000101384","jagged canonical Notch ligand 1"
"JAK3","3718","ENSG00000105639","Janus kinase 3"
"KCNQ1","3784","ENSG00000053918","potassium voltage-gated channel subfamily Q member 1"
"KCNE1","3753","ENSG00000180509","potassium voltage-gated channel subfamily E regulatory subunit 1"
"KHK","3795","ENSG00000138030","ketohexokinase"
"KIT","3815","ENSG00000157404","KIT proto-oncogene, receptor tyrosine kinase"
"LCAT","3931","ENSG00000213398","lecithin-cholesterol acyltransferase"
"LEP","3952","ENSG00000174697","leptin"
"SGCB","6443","ENSG00000163069","sarcoglycan beta"
"LIG1","3978","ENSG00000105486","DNA ligase 1"
"LIPA","3988","ENSG00000107798","lipase A, lysosomal acid type"
"LPL","4023","ENSG00000175445","lipoprotein lipase"
"LYZ","4069","ENSG00000090382","lysozyme"
"MAOA","4128","ENSG00000189221","monoamine oxidase A"
"MEFV","4210","ENSG00000103313","MEFV innate immunity regulator, pyrin"
"MEN1","4221","ENSG00000133895","menin 1"
"CIITA","4261","ENSG00000179583","class II major histocompatibility complex transactivator"
"MITF","4286","ENSG00000187098","melanocyte inducing transcription factor"
"MLH1","4292","ENSG00000076242","mutL homolog 1"
"MPO","4353","ENSG00000005381","myeloperoxidase"
"MSH2","4436","ENSG00000095002","mutS homolog 2"
"MTM1","4534","ENSG00000171100","myotubularin 1"
"MTR","4548","ENSG00000116984","5-methyltetrahydrofolate-homocysteine methyltransferase"
"MMUT","4594","ENSG00000146085","methylmalonyl-CoA mutase"
"MYBPC3","4607","ENSG00000134571","myosin binding protein C3"
"MYO5A","4644","ENSG00000197535","myosin VA"
"MYO7A","4647","ENSG00000137474","myosin VIIA"
"NAGA","4668","ENSG00000198951","alpha-N-acetylgalactosaminidase"
"NAGLU","4669","ENSG00000108784","N-acetyl-alpha-glucosaminidase"
"NCF1","653361","ENSG00000158517","neutrophil cytosolic factor 1"
"NF1","4763","ENSG00000196712","neurofibromin 1"
"NF2","4771","ENSG00000186575","NF2, moesin-ezrin-radixin like (MERLIN) tumor suppressor"
"NME1","4830","ENSG00000239672","NME/NM23 nucleoside diphosphate kinase 1"
"PNP","4860","ENSG00000198805","purine nucleoside phosphorylase"
"NPC1","4864","ENSG00000141458","NPC intracellular cholesterol transporter 1"
"OAT","4942","ENSG00000065154","ornithine aminotransferase"
"OCRL","4952","ENSG00000122126","OCRL inositol polyphosphate-5-phosphatase"
"PCBD1","5092","ENSG00000166228","pterin-4 alpha-carbinolamine dehydratase 1"
"PCCA","5095","ENSG00000175198","propionyl-CoA carboxylase subunit alpha"
"PDHA1","5160","ENSG00000131828","pyruvate dehydrogenase E1 subunit alpha 1"
"PEPD","5184","ENSG00000124299","peptidase D"
"PEX12","5193","ENSG00000108733","peroxisomal biogenesis factor 12"
"PEX6","5190","ENSG00000124587","peroxisomal biogenesis factor 6"
"PEX7","5191","ENSG00000112357","peroxisomal biogenesis factor 7"
"PFKM","5213","ENSG00000152556","phosphofructokinase, muscle"
"PGK1","5230","ENSG00000102144","phosphoglycerate kinase 1"
"PHKA2","5256","ENSG00000044446","phosphorylase kinase regulatory subunit alpha 2"
"PHKB","5257","ENSG00000102893","phosphorylase kinase regulatory subunit beta"
"PHKG2","5261","ENSG00000156873","phosphorylase kinase catalytic subunit gamma 2"
"SERPINA1","5265","ENSG00000197249","serpin family A member 1"
"PKD1","5310","ENSG00000008710","polycystin 1, transient receptor potential channel interacting"
"PKD2","5311","ENSG00000118762","polycystin 2, transient receptor potential cation channel"
"PLOD1","5351","ENSG00000083444","procollagen-lysine,2-oxoglutarate 5-dioxygenase 1"
"PMM2","5373","ENSG00000140650","phosphomannomutase 2"
"PON2","5445","ENSG00000105854","paraoxonase 2"
"CTSA","5476","ENSG00000064601","cathepsin A"
"PPOX","5498","ENSG00000143224","protoporphyrinogen oxidase"
"PPT1","5538","ENSG00000131238","palmitoyl-protein thioesterase 1"
"PRNP","5621","ENSG00000171867","prion protein (Kanno blood group)"
"PROC","5624","ENSG00000115718","protein C, inactivator of coagulation factors Va and VIIIa"
"PROS1","5627","ENSG00000184500","protein S"
"PTEN","5728","ENSG00000171862","phosphatase and tensin homolog"
"PTS","5805","ENSG00000150787","6-pyruvoyltetrahydropterin synthase"
"PEX2","5828","ENSG00000164751","peroxisomal biogenesis factor 2"
"PEX5","5830","ENSG00000139197","peroxisomal biogenesis factor 5"
"QDPR","5860","ENSG00000151552","quinoid dihydropteridine reductase"
"RB1","5925","ENSG00000139687","RB transcriptional corepressor 1"
"RHAG","6005","ENSG00000112077","Rh associated glycoprotein"
"ROM1","6094","ENSG00000149489","retinal outer segment membrane protein 1"
"RPGR","6103","ENSG00000156313","retinitis pigmentosa GTPase regulator"
"ATXN1","6310","ENSG00000124788","ataxin 1"
"ATXN7","6314","ENSG00000163635","ataxin 7"
"SLC4A1","6521","ENSG00000004939","solute carrier family 4 member 1 (Diego blood group)"
"SMN1","6606","ENSG00000172062","survival of motor neuron 1, telomeric"
"SNCA","6622","ENSG00000145335","synuclein alpha"
"ABCA4","24","ENSG00000198691","ATP binding cassette subfamily A member 4"
"TCN2","6948","ENSG00000185339","transcobalamin 2"
"TCOF1","6949","ENSG00000070814","treacle ribosome biogenesis factor 1"
"TGFBI","7045","ENSG00000120708","transforming growth factor beta induced"
"TGM1","7051","ENSG00000092295","transglutaminase 1"
"THBD","7056","ENSG00000178726","thrombomodulin"
"TPI1","7167","ENSG00000111669","triosephosphate isomerase 1"
"TPMT","7172","ENSG00000137364","thiopurine S-methyltransferase"
"TSC1","7248","ENSG00000165699","TSC complex subunit 1"
"UMPS","7372","ENSG00000114491","uridine monophosphate synthetase"
"UROD","7389","ENSG00000126088","uroporphyrinogen decarboxylase"
"UROS","7390","ENSG00000188690","uroporphyrinogen III synthase"
"VDR","7421","ENSG00000111424","vitamin D receptor"
"WAS","7454","ENSG00000015285","WASP actin nucleation promoting factor"
"XPA","7507","ENSG00000136936","XPA, DNA damage recognition and repair factor"
"ALDH3A2","224","ENSG00000072210","aldehyde dehydrogenase 3 family member A2"
"BLMH","642","ENSG00000108578","bleomycin hydrolase"
"SLC25A20","788","ENSG00000178537","solute carrier family 25 member 20"
"CDKN1A","1026","ENSG00000124762","cyclin dependent kinase inhibitor 1A"
"CHM","1121","ENSG00000188419","CHM Rab escort protein"
"TPP1","1200","ENSG00000166340","tripeptidyl peptidase 1"
"ABCC2","1244","ENSG00000023839","ATP binding cassette subfamily C member 2"
"COL5A2","1290","ENSG00000204262","collagen type V alpha 2 chain"
"CSF2RB","1439","ENSG00000100368","colony stimulating factor 2 receptor subunit beta"
"CTSK","1513","ENSG00000143387","cathepsin K"
"CYBB","1536","ENSG00000165168","cytochrome b-245 beta chain"
"CYB5R3","1727","ENSG00000100243","cytochrome b5 reductase 3"
"ERCC2","2068","ENSG00000104884","ERCC excision repair 2, TFIIH core complex helicase subunit"
"EXT2","2132","ENSG00000151348","exostosin glycosyltransferase 2"
"G6PD","2539","ENSG00000160211","glucose-6-phosphate dehydrogenase"
"GLB1","2720","ENSG00000170266","galactosidase beta 1"
"GM2A","2760","ENSG00000196743","ganglioside GM2 activator"
"GP1BB","2812","ENSG00000203618","glycoprotein Ib platelet subunit beta"
"GPD2","2820","ENSG00000115159","glycerol-3-phosphate dehydrogenase 2"
"HFE","3077","ENSG00000010704","homeostatic iron regulator"
"HLCS","3141","ENSG00000159267","holocarboxylase synthetase"
"HSD17B4","3295","ENSG00000133835","hydroxysteroid 17-beta dehydrogenase 4"
"IFNGR1","3459","ENSG00000027697","interferon gamma receptor 1"
"IL2RA","3559","ENSG00000134460","interleukin 2 receptor subunit alpha"
"IL4R","3566","ENSG00000077238","interleukin 4 receptor"
"ITGA2B","3674","ENSG00000005961","integrin subunit alpha 2b"
"KEL","3792","ENSG00000197993","Kell metallo-endopeptidase (Kell blood group)"
"KRT10","3858","ENSG00000186395","keratin 10"
"LTBP2","4053","ENSG00000119681","latent transforming growth factor beta binding protein 2"
"PAFAH1B1","5048","ENSG00000007168","platelet activating factor acetylhydrolase 1b regulatory subunit 1"
"MVK","4598","ENSG00000110921","mevalonate kinase"
"NCF2","4688","ENSG00000116701","neutrophil cytosolic factor 2"
"NEU1","4758","ENSG00000204386","neuraminidase 1"
"OXCT1","5019","ENSG00000083720","3-oxoacid CoA-transferase 1"
"PAFAH2","5051","ENSG00000158006","platelet activating factor acetylhydrolase 2"
"PECAM1","5175","ENSG00000261371","platelet and endothelial cell adhesion molecule 1"
"PLEC","5339","ENSG00000178209","plectin"
"PSEN2","5664","ENSG00000143801","presenilin 2"
"RFX5","5993","ENSG00000143390","regulatory factor X5"
"SOD1","6647","ENSG00000142168","superoxide dismutase 1"
"STK11","6794","ENSG00000118046","serine/threonine kinase 11"
"SUOX","6821","ENSG00000139531","sulfite oxidase"
"TEK","7010","ENSG00000120156","TEK receptor tyrosine kinase"
"UBE3A","7337","ENSG00000114062","ubiquitin protein ligase E3A"
"BARD1","580","ENSG00000138376","BRCA1 associated RING domain 1"
"PEX1","5189","ENSG00000127980","peroxisomal biogenesis factor 1"
"AK1","203","ENSG00000106992","adenylate kinase 1"
"ALPL","249","ENSG00000162551","alkaline phosphatase, biomineralization associated"
"AMPD3","272","ENSG00000133805","adenosine monophosphate deaminase 3"
"AMT","275","ENSG00000145020","aminomethyltransferase"
"APP","351","ENSG00000142192","amyloid beta precursor protein"
"APRT","353","ENSG00000198931","adenine phosphoribosyltransferase"
"ARSA","410","ENSG00000100299","arylsulfatase A"
"ATRX","546","ENSG00000085224","ATRX chromatin remodeler"
"C1QB","713","ENSG00000173369","complement C1q B chain"
"COL17A1","1308","ENSG00000065618","collagen type XVII alpha 1 chain"
"F12","2161","ENSG00000131187","coagulation factor XII"
"FBP1","2203","ENSG00000165140","fructose-bisphosphatase 1"
"GALNS","2588","ENSG00000141012","galactosamine (N-acetyl)-6-sulfatase"
"GNAS","2778","ENSG00000087460","GNAS complex locus"
"HBA2","3040","ENSG00000188536","hemoglobin subunit alpha 2"
"HBB","3043","ENSG00000244734","hemoglobin subunit beta"
"HBD","3045","ENSG00000223609","hemoglobin subunit delta"
"HEXA","3073","ENSG00000213614","hexosaminidase subunit alpha"
"HEXB","3074","ENSG00000049860","hexosaminidase subunit beta"
"LDLR","3949","ENSG00000130164","low density lipoprotein receptor"
"MAN2B1","4125","ENSG00000104774","mannosidase alpha class 2B member 1"
"MPZ","4359","ENSG00000158887","myelin protein zero"
"PCCB","5096","ENSG00000114054","propionyl-CoA carboxylase subunit beta"
"PMS2","5395","ENSG00000122512","PMS1 homolog 2, mismatch repair system component"
"RFXAP","5994","ENSG00000133111","regulatory factor X associated protein"
"SMPD1","6609","ENSG00000166311","sphingomyelin phosphodiesterase 1"
"TAP2","6891","ENSG00000204267","transporter 2, ATP binding cassette subfamily B member"
"TP53","7157","ENSG00000141510","tumor protein p53"
"VHL","7428","ENSG00000134086","von Hippel-Lindau tumor suppressor"
"VWF","7450","ENSG00000110799","von Willebrand factor"
"WRN","7486","ENSG00000165392","WRN RecQ like helicase"
"HBA1","3039","ENSG00000206172","hemoglobin subunit alpha 1"
"HBG1","3047","ENSG00000213934","hemoglobin subunit gamma 1"
"CD53","963","ENSG00000143119","CD53 molecule"
"GSTM1","2944","ENSG00000134184","glutathione S-transferase mu 1"
"IL5RA","3568","ENSG00000091181","interleukin 5 receptor subunit alpha"
"IL6R","3570","ENSG00000160712","interleukin 6 receptor"
"FCGR1A","2209","ENSG00000150337","Fc gamma receptor Ia"
"FCGR3A","2214","ENSG00000203747","Fc gamma receptor IIIa"
"FCGR3B","2215","ENSG00000162747","Fc gamma receptor IIIb"
"IL10","3586","ENSG00000136634","interleukin 10"
"CR1","1378","ENSG00000203710","complement C3b/C4b receptor 1 (Knops blood group)"
"CD55","1604","ENSG00000196352","CD55 molecule (Cromer blood group)"
"IL1B","3553","ENSG00000125538","interleukin 1 beta"
"IL1RN","3557","ENSG00000136689","interleukin 1 receptor antagonist"
"SLC11A1","6556","ENSG00000018280","solute carrier family 11 member 1"
"CCR5","1234","ENSG00000160791","C-C motif chemokine receptor 5"
"GPX1","2876","ENSG00000233276","glutathione peroxidase 1"
"SPP1","6696","ENSG00000118785","secreted phosphoprotein 1"
"CXCL8","3576","ENSG00000169429","C-X-C motif chemokine ligand 8"
"IL15","3600","ENSG00000164136","interleukin 15"
"CD14","929","ENSG00000170458","CD14 molecule"
"TAP1","6890","ENSG00000168394","transporter 1, ATP binding cassette subfamily B member"
"TNF","7124","ENSG00000232810","tumor necrosis factor"
"LTA","4049","ENSG00000226979","lymphotoxin alpha"
"IGFBP3","3486","ENSG00000146674","insulin like growth factor binding protein 3"
"HGF","3082","ENSG00000019991","hepatocyte growth factor"
"NOS3","4846","ENSG00000164867","nitric oxide synthase 3"
"ORM1","5004","ENSG00000229314","orosomucoid 1"
"ORM2","5005","ENSG00000228278","orosomucoid 2"
"CD44","960","ENSG00000026508","CD44 molecule (IN blood group)"
"CD59","966","ENSG00000085063","CD59 molecule (CD59 blood group)"
"NCAM1","4684","ENSG00000149294","neural cell adhesion molecule 1"
"CD4","920","ENSG00000010610","CD4 molecule"
"SLC11A2","4891","ENSG00000110911","solute carrier family 11 member 2"
"IFNG","3458","ENSG00000111537","interferon gamma"
"CD79B","974","ENSG00000007312","CD79b molecule"
"LTBP1","4052","ENSG00000049323","latent transforming growth factor beta binding protein 1"
"IL10RB","3588","ENSG00000243646","interleukin 10 receptor subunit beta"
"IFNAR1","3454","ENSG00000142166","interferon alpha and beta receptor subunit 1"
"NCF4","4689","ENSG00000100365","neutrophil cytosolic factor 4"
"ITGAM","3684","ENSG00000169896","integrin subunit alpha M"
"BCL2","596","ENSG00000171791","BCL2 apoptosis regulator"
"CXCR1","3577","ENSG00000163464","C-X-C motif chemokine receptor 1"
"RFX2","5990","ENSG00000087903","regulatory factor X2"
"SOD2","6648","ENSG00000291237","superoxide dismutase 2"
"GSR","2936","ENSG00000104687","glutathione-disulfide reductase"
"FASLG","356","ENSG00000117560","Fas ligand"
"AGL","178","ENSG00000162688","amylo-alpha-1,6-glucosidase and 4-alpha-glucanotransferase"
"SELL","6402","ENSG00000188404","selectin L"
"TGFB1","7040","ENSG00000105329","transforming growth factor beta 1"
"RPL9","6133","ENSG00000163682","ribosomal protein L9"
"NAT1","9","ENSG00000171428","N-acetyltransferase 1"
"ABAT","18","ENSG00000183044","4-aminobutyrate aminotransferase"
"ACY1","95","ENSG00000243989","aminoacylase 1"
"ADH5","128","ENSG00000197894","alcohol dehydrogenase 5 (class III), chi polypeptide"
"ADORA2A","135","ENSG00000128271","adenosine A2a receptor"
"ADORA2B","136","ENSG00000170425","adenosine A2b receptor"
"ADORA3","140","ENSG00000282608","adenosine A3 receptor"
"AHCY","191","ENSG00000101444","adenosylhomocysteinase"
"ALAS1","211","ENSG00000023330","5'-aminolevulinate synthase 1"
"ALDH1A1","216","ENSG00000165092","aldehyde dehydrogenase 1 family member A1"
"ALDH2","217","ENSG00000111275","aldehyde dehydrogenase 2 family member"
"ALDH1B1","219","ENSG00000137124","aldehyde dehydrogenase 1 family member B1"
"ALDH3B1","221","ENSG00000006534","aldehyde dehydrogenase 3 family member B1"
"ALDH9A1","223","ENSG00000143149","aldehyde dehydrogenase 9 family member A1"
"ALOX12","239","ENSG00000108839","arachidonate 12-lipoxygenase, 12S type"
"ALOX5","240","ENSG00000012779","arachidonate 5-lipoxygenase"
"ANXA1","301","ENSG00000135046","annexin A1"
"ATP1A1","476","ENSG00000163399","ATPase Na+/K+ transporting subunit alpha 1"
"BCKDHA","593","ENSG00000248098","branched chain keto acid dehydrogenase E1 subunit alpha"
"BLVRA","644","ENSG00000106605","biliverdin reductase A"
"BLVRB","645","ENSG00000090013","biliverdin reductase B"
"TSPO","706","ENSG00000100300","translocator protein"
"C4BPA","722","ENSG00000123838","complement component 4 binding protein alpha"
"CA4","762","ENSG00000167434","carbonic anhydrase 4"
"CACNA1D","776","ENSG00000157388","calcium voltage-gated channel subunit alpha1 D"
"CACNA1E","777","ENSG00000198216","calcium voltage-gated channel subunit alpha1 E"
"CACNB1","782","ENSG00000067191","calcium voltage-gated channel auxiliary subunit beta 1"
"CACNB3","784","ENSG00000167535","calcium voltage-gated channel auxiliary subunit beta 3"
"CD3D","915","ENSG00000167286","CD3 delta subunit of T-cell receptor complex"
"CD3E","916","ENSG00000198851","CD3 epsilon subunit of T-cell receptor complex"
"CD247","919","ENSG00000198821","CD247 molecule"
"CHRNB1","1140","ENSG00000170175","cholinergic receptor nicotinic beta 1 subunit"
"COMT","1312","ENSG00000093010","catechol-O-methyltransferase"
"CRAT","1384","ENSG00000095321","carnitine O-acetyltransferase"
"CSF1","1435","ENSG00000184371","colony stimulating factor 1"
"CSF3R","1441","ENSG00000119535","colony stimulating factor 3 receptor"
"CYP27A1","1593","ENSG00000135929","cytochrome P450 family 27 subfamily A member 1"
"CYP51A1","1595","ENSG00000001630","cytochrome P450 family 51 subfamily A member 1"
"DCK","1633","ENSG00000156136","deoxycytidine kinase"
"ACE","1636","ENSG00000159640","angiotensin I converting enzyme"
"DHFR","1719","ENSG00000228716","dihydrofolate reductase"
"FKBP1A","2280","ENSG00000088832","FKBP prolyl isomerase 1A"
"FOLR2","2350","ENSG00000165457","folate receptor beta"
"FOLR3","2352","ENSG00000110203","folate receptor gamma"
"GART","2618","ENSG00000159131","phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase"
"GAS6","2621","ENSG00000183087","growth arrest specific 6"
"GGCX","2677","ENSG00000115486","gamma-glutamyl carboxylase"
"GNRH1","2796","ENSG00000147437","gonadotropin releasing hormone 1"
"GRINA","2907","ENSG00000178719","glutamate ionotropic receptor NMDA type subunit associated protein 1"
"GSTM2","2946","ENSG00000213366","glutathione S-transferase mu 2"
"GSTM3","2947","ENSG00000134202","glutathione S-transferase mu 3"
"GSTM4","2948","ENSG00000168765","glutathione S-transferase mu 4"
"GSTP1","2950","ENSG00000084207","glutathione S-transferase pi 1"
"GUCY1A1","2982","ENSG00000164116","guanylate cyclase 1 soluble subunit alpha 1"
"GUCY1B1","2983","ENSG00000061918","guanylate cyclase 1 soluble subunit beta 1"
"GUK1","2987","ENSG00000143774","guanylate kinase 1"
"HMGCR","3156","ENSG00000113161","3-hydroxy-3-methylglutaryl-CoA reductase"
"HPGD","3248","ENSG00000164120","15-hydroxyprostaglandin dehydrogenase"
"HTR6","3362","ENSG00000158748","5-hydroxytryptamine receptor 6"
"ICAM2","3384","ENSG00000108622","intercellular adhesion molecule 2"
"IFNAR2","3455","ENSG00000159110","interferon alpha and beta receptor subunit 2"
"IGF1R","3480","ENSG00000140443","insulin like growth factor 1 receptor"
"IGF2R","3482","ENSG00000197081","insulin like growth factor 2 receptor"
"IL1R1","3554","ENSG00000115594","interleukin 1 receptor type 1"
"IL2RB","3560","ENSG00000100385","interleukin 2 receptor subunit beta"
"IMPDH1","3614","ENSG00000106348","inosine monophosphate dehydrogenase 1"
"IMPDH2","3615","ENSG00000178035","inosine monophosphate dehydrogenase 2"
"ITGA4","3676","ENSG00000115232","integrin subunit alpha 4"
"ITGAX","3687","ENSG00000140678","integrin subunit alpha X"
"ITGB7","3695","ENSG00000139626","integrin subunit beta 7"
"KCNJ2","3759","ENSG00000123700","potassium inwardly rectifying channel subfamily J member 2"
"KLKB1","3818","ENSG00000164344","kallikrein B1"
"LTA4H","4048","ENSG00000111144","leukotriene A4 hydrolase"
"CYP4F3","4051","ENSG00000186529","cytochrome P450 family 4 subfamily F member 3"
"NR3C2","4306","ENSG00000151623","nuclear receptor subfamily 3 group C member 2"
"MME","4311","ENSG00000196549","membrane metalloendopeptidase"
"NQO1","1728","ENSG00000181019","NAD(P)H quinone dehydrogenase 1"
"NQO2","4835","ENSG00000124588","N-ribosyldihydronicotinamide:quinone dehydrogenase 2"
"OPRL1","4987","ENSG00000125510","opioid related nociceptin receptor 1"
"P4HA1","5033","ENSG00000122884","prolyl 4-hydroxylase subunit alpha 1"
"P4HB","5034","ENSG00000185624","prolyl 4-hydroxylase subunit beta"
"PAM","5066","ENSG00000145730","peptidylglycine alpha-amidating monooxygenase"
