"transcript_id","gene_symbol"
"NM_000189>HK2","HK2"
"NM_000190>HMBS","HMBS"
"NM_000191>HMGCL","HMGCL"
"NM_000194>HPRT1","HPRT1"
"NM_000195>HPS1","HPS1"
"NM_000199>SGSH","SGSH"
"NM_000201>ICAM1","ICAM1"
"NM_000202>IDS","IDS"
"NM_000203>IDUA","IDUA"
"NM_000206>IL2RG","IL2RG"
"NM_000208>INSR","INSR"
"NM_000210>ITGA6","ITGA6"
"NM_000211>ITGB2","ITGB2"
"NM_000212>ITGB3","ITGB3"
"NM_000214>JAG1","JAG1"
"NM_000215>JAK3","JAK3"
"NM_000218>KCNQ1","KCNQ1"
"NM_000219>KCNE1","KCNE1"
"NM_000221>KHK","KHK"
"NM_000222>KIT","KIT"
"NM_000229>LCAT","LCAT"
"NM_000230>LEP","LEP"
"NM_000232>SGCB","SGCB"
"NM_000234>LIG1","LIG1"
"NM_000235>LIPA","LIPA"
"NM_000237>LPL","LPL"
"NM_000239>LYZ","LYZ"
"NM_000240>MAOA","MAOA"
"NM_000243>MEFV","MEFV"
"NM_000244>MEN1","MEN1"
"NM_000246>CIITA","CIITA"
"NM_000248>MITF","MITF"
"NM_000249>MLH1","MLH1"
"NM_000250>MPO","MPO"
"NM_000251>MSH2","MSH2"
"NM_000252>MTM1","MTM1"
"NM_000254>MTR","MTR"
"NM_000255>MMUT","MMUT"
"NM_000256>MYBPC3","MYBPC3"
"NM_000259>MYO5A","MYO5A"
"NM_000260>MYO7A","MYO7A"
"NM_000262>NAGA","NAGA"
"NM_000263>NAGLU","NAGLU"
"NM_000265>NCF1","NCF1"
"NM_000267>NF1","NF1"
"NM_000268>NF2","NF2"
"NM_000269>NME1","NME1"
"NM_000270>PNP","PNP"
"NM_000271>NPC1","NPC1"
"NM_000274>OAT","OAT"
"NM_000276>OCRL","OCRL"
"NM_000281>PCBD1","PCBD1"
"NM_000282>PCCA","PCCA"
"NM_000284>PDHA1","PDHA1"
"NM_000285>PEPD","PEPD"
"NM_000286>PEX12","PEX12"
"NM_000287>PEX6","PEX6"
"NM_000288>PEX7","PEX7"
"NM_000289>PFKM","PFKM"
"NM_000291>PGK1","PGK1"
"NM_000292>PHKA2","PHKA2"
"NM_000293>PHKB","PHKB"
"NM_000294>PHKG2","PHKG2"
"NM_000295>SERPINA1","SERPINA1"
"NM_000296>PKD1","PKD1"
"NM_000297>PKD2","PKD2"
"NM_000302>PLOD1","PLOD1"
"NM_000303>PMM2","PMM2"
"NM_000305>PON2","PON2"
"NM_000308>CTSA","CTSA"
"NM_000309>PPOX","PPOX"
"NM_000310>PPT1","PPT1"
"NM_000311>PRNP","PRNP"
"NM_000312>PROC","PROC"
"NM_000313>PROS1","PROS1"
"NM_000314>PTEN","PTEN"
"NM_000317>PTS","PTS"
"NM_000318>PEX2","PEX2"
"NM_000319>PEX5","PEX5"
"NM_000320>QDPR","QDPR"
"NM_000321>RB1","RB1"
"NM_000324>RHAG","RHAG"
"NM_000327>ROM1","ROM1"
"NM_000328>RPGR","RPGR"
"NM_000332>ATXN1","ATXN1"
"NM_000333>ATXN7","ATXN7"
"NM_000342>SLC4A1","SLC4A1"
"NM_000344.1>SMN1","SMN1"
"NM_000344>SMN1","SMN1"
"NM_000345>SNCA","SNCA"
"NM_000350>ABCA4","ABCA4"
"NM_000355>TCN2","TCN2"
"NM_000356>TCOF1","TCOF1"
"NM_000358>TGFBI","TGFBI"
"NM_000359>TGM1","TGM1"
"NM_000361>THBD","THBD"
"NM_000365>TPI1","TPI1"
"NM_000367>TPMT","TPMT"
"NM_000368>TSC1","TSC1"
"NM_000373>UMPS","UMPS"
"NM_000374>UROD","UROD"
"NM_000375>UROS","UROS"
"NM_000376>VDR","VDR"
"NM_000377>WAS","WAS"
"NM_000380>XPA","XPA"
"NM_000382>ALDH3A2","ALDH3A2"
"NM_000386>BLMH","BLMH"
"NM_000387>SLC25A20","SLC25A20"
"NM_000389>CDKN1A","CDKN1A"
"NM_000390>CHM","CHM"
"NM_000391>TPP1","TPP1"
"NM_000392>ABCC2","ABCC2"
"NM_000393>COL5A2","COL5A2"
"NM_000395>CSF2RB","CSF2RB"
"NM_000396>CTSK","CTSK"
"NM_000397>CYBB","CYBB"
"NM_000398>CYB5R3","CYB5R3"
"NM_000400>ERCC2","ERCC2"
"NM_000401>EXT2","EXT2"
"NM_000402>G6PD","G6PD"
"NM_000404>GLB1","GLB1"
"NM_000405>GM2A","GM2A"
"NM_000407>GP1BB","GP1BB"
"NM_000408>GPD2","GPD2"
"NM_000410>HFE","HFE"
"NM_000411>HLCS","HLCS"
"NM_000414>HSD17B4","HSD17B4"
"NM_000416>IFNGR1","IFNGR1"
"NM_000417>IL2RA","IL2RA"
"NM_000418>IL4R","IL4R"
"NM_000419>ITGA2B","ITGA2B"
"NM_000420>KEL","KEL"
"NM_000421>KRT10","KRT10"
"NM_000428>LTBP2","LTBP2"
"NM_000430>PAFAH1B1","PAFAH1B1"
"NM_000431>MVK","MVK"
"NM_000433>NCF2","NCF2"
"NM_000434>NEU1","NEU1"
"NM_000436>OXCT1","OXCT1"
"NM_000437>PAFAH2","PAFAH2"
"NM_000442>PECAM1","PECAM1"
"NM_000445>PLEC","PLEC"
"NM_000447>PSEN2","PSEN2"
"NM_000449>RFX5","RFX5"
"NM_000454>SOD1","SOD1"
"NM_000455>STK11","STK11"
"NM_000456>SUOX","SUOX"
"NM_000459>TEK","TEK"
"NM_000462>UBE3A","UBE3A"
"NM_000465>BARD1","BARD1"
"NM_000466>PEX1","PEX1"
"NM_000476>AK1","AK1"
"NM_000478>ALPL","ALPL"
"NM_000480>AMPD3","AMPD3"
"NM_000481>AMT","AMT"
"NM_000484>APP","APP"
"NM_000485>APRT","APRT"
"NM_000487>ARSA","ARSA"
"NM_000489>ATRX","ATRX"
"NM_000491>C1QB","C1QB"
"NM_000494>COL17A1","COL17A1"
"NM_000505>F12","F12"
"NM_000507>FBP1","FBP1"
"NM_000512>GALNS","GALNS"
"NM_000516>GNAS","GNAS"
"NM_000517>HBA2","HBA2"
"NM_000518>HBB","HBB"
"NM_000519>HBD","HBD"
"NM_000520>HEXA","HEXA"
"NM_000521>HEXB","HEXB"
"NM_000527>LDLR","LDLR"
"NM_000528>MAN2B1","MAN2B1"
"NM_000530>MPZ","MPZ"
"NM_000532>PCCB","PCCB"
"NM_000535>PMS2","PMS2"
"NM_000538>RFXAP","RFXAP"
"NM_000543>SMPD1","SMPD1"
"NM_000544>TAP2","TAP2"
"NM_000546>TP53","TP53"
"NM_000551>VHL","VHL"
"NM_000552>VWF","VWF"
"NM_000553>WRN","WRN"
"NM_000558>HBA1","HBA1"
"NM_000559>HBG1","HBG1"
"NM_000560>CD53","CD53"
"NM_000561>GSTM1","GSTM1"
"NM_000564>IL5RA","IL5RA"
"NM_000565>IL6R","IL6R"
"NM_000566>FCGR1A","FCGR1A"
"NM_000569>FCGR3A","FCGR3A"
"NM_000570>FCGR3B","FCGR3B"
"NM_000572>IL10","IL10"
"NM_000573>CR1","CR1"
"NM_000574>CD55","CD55"
"NM_000576>IL1B","IL1B"
"NM_000577>IL1RN","IL1RN"
"NM_000578>SLC11A1","SLC11A1"
"NM_000579>CCR5","CCR5"
"NM_000581>GPX1","GPX1"
"NM_000582>SPP1","SPP1"
"NM_000584>CXCL8","CXCL8"
"NM_000585>IL15","IL15"
"NM_000591>CD14","CD14"
"NM_000593>TAP1","TAP1"
"NM_000594>TNF","TNF"
"NM_000595>LTA","LTA"
"NM_000598>IGFBP3","IGFBP3"
"NM_000601>HGF","HGF"
"NM_000603>NOS3","NOS3"
"NM_000607>ORM1","ORM1"
"NM_000608>ORM2","ORM2"
"NM_000610>CD44","CD44"
"NM_000611>CD59","CD59"
"NM_000615>NCAM1","NCAM1"
"NM_000616>CD4","CD4"
"NM_000617>SLC11A2","SLC11A2"
"NM_000619>IFNG","IFNG"
"NM_000626>CD79B","CD79B"
"NM_000627>LTBP1","LTBP1"
"NM_000628>IL10RB","IL10RB"
"NM_000629>IFNAR1","IFNAR1"
"NM_000631>NCF4","NCF4"
"NM_000632>ITGAM","ITGAM"
"NM_000633>BCL2","BCL2"
"NM_000634>CXCR1","CXCR1"
"NM_000635>RFX2","RFX2"
"NM_000636>SOD2","SOD2"
"NM_000637>GSR","GSR"
"NM_000639>FASLG","FASLG"
"NM_000642>AGL","AGL"
"NM_000643>AGL","AGL"
"NM_000644>AGL","AGL"
"NM_000646>AGL","AGL"
"NM_000651>CR1","CR1"
"NM_000655>SELL","SELL"
"NM_000660>TGFB1","TGFB1"
"NM_000661>RPL9","RPL9"
"NM_000662>NAT1","NAT1"
"NM_000663>ABAT","ABAT"
"NM_000666>ACY1","ACY1"
"NM_000671>ADH5","ADH5"
"NM_000675>ADORA2A","ADORA2A"
"NM_000676>ADORA2B","ADORA2B"
"NM_000677>ADORA3","ADORA3"
"NM_000687>AHCY","AHCY"
"NM_000688>ALAS1","ALAS1"
"NM_000689>ALDH1A1","ALDH1A1"
"NM_000690>ALDH2","ALDH2"
"NM_000692>ALDH1B1","ALDH1B1"
"NM_000694>ALDH3B1","ALDH3B1"
"NM_000696>ALDH9A1","ALDH9A1"
"NM_000697>ALOX12","ALOX12"
"NM_000698>ALOX5","ALOX5"
"NM_000700>ANXA1","ANXA1"
"NM_000701>ATP1A1","ATP1A1"
"NM_000709>BCKDHA","BCKDHA"
"NM_000712>BLVRA","BLVRA"
"NM_000713>BLVRB","BLVRB"
"NM_000714>TSPO","TSPO"
"NM_000715>C4BPA","C4BPA"
"NM_000717>CA4","CA4"
"NM_000720>CACNA1D","CACNA1D"
"NM_000721>CACNA1E","CACNA1E"
"NM_000723>CACNB1","CACNB1"
"NM_000725>CACNB3","CACNB3"
"NM_000732>CD3D","CD3D"
"NM_000733>CD3E","CD3E"
"NM_000734>CD247","CD247"
"NM_000747>CHRNB1","CHRNB1"
"NM_000754>COMT","COMT"
"NM_000755>CRAT","CRAT"
"NM_000757>CSF1","CSF1"
"NM_000760>CSF3R","CSF3R"
"NM_000784>CYP27A1","CYP27A1"
"NM_000786>CYP51A1","CYP51A1"
"NM_000788>DCK","DCK"
"NM_000789>ACE","ACE"
"NM_000791>DHFR","DHFR"
"NM_000801>FKBP1A","FKBP1A"
"NM_000803>FOLR2","FOLR2"
"NM_000804>FOLR3","FOLR3"
"NM_000819>GART","GART"
"NM_000820>GAS6","GAS6"
"NM_000821>GGCX","GGCX"
"NM_000825>GNRH1","GNRH1"
"NM_000837>GRINA","GRINA"
"NM_000848>GSTM2","GSTM2"
"NM_000849>GSTM3","GSTM3"
"NM_000850>GSTM4","GSTM4"
"NM_000852>GSTP1","GSTP1"
"NM_000856>GUCY1A1","GUCY1A1"
"NM_000857>GUCY1B1","GUCY1B1"
"NM_000858>GUK1","GUK1"
"NM_000859>HMGCR","HMGCR"
"NM_000860>HPGD","HPGD"
"NM_000871>HTR6","HTR6"
"NM_000873>ICAM2","ICAM2"
"NM_000874>IFNAR2","IFNAR2"
"NM_000875>IGF1R","IGF1R"
"NM_000876>IGF2R","IGF2R"
"NM_000877>IL1R1","IL1R1"
"NM_000878>IL2RB","IL2RB"
"NM_000883>IMPDH1","IMPDH1"
"NM_000884>IMPDH2","IMPDH2"
"NM_000885>ITGA4","ITGA4"
"NM_000887>ITGAX","ITGAX"
"NM_000889>ITGB7","ITGB7"
"NM_000891>KCNJ2","KCNJ2"
"NM_000892>KLKB1","KLKB1"
"NM_000895>LTA4H","LTA4H"
"NM_000896>CYP4F3","CYP4F3"
"NM_000901>NR3C2","NR3C2"
"NM_000902>MME","MME"
"NM_000903>NQO1","NQO1"
"NM_000904>NQO2","NQO2"
"NM_000913>OPRL1","OPRL1"
"NM_000917>P4HA1","P4HA1"
"NM_000918>P4HB","P4HB"
"NM_000919>PAM","PAM"
"NM_000920>PC","PC"
"NM_000922>PDE3B","PDE3B"
"NM_000924>PDE1B","PDE1B"
"NM_000925>PDHB","PDHB"
"NM_000927>ABCB1","ABCB1"
"NM_000932>PLCB3","PLCB3"
"NM_000937>POLR2A","POLR2A"
"NM_000938>POLR2B","POLR2B"
"NM_000939>POMC","POMC"
"NM_000941>POR","POR"
"NM_000942>PPIB","PPIB"
"NM_000944>PPP3CA","PPP3CA"
"NM_000945>PPP3R1","PPP3R1"
"NM_000946>PRIM1","PRIM1"
"NM_000947>PRIM2","PRIM2"
"NM_000952>PTAFR","PTAFR"
"NM_000953>PTGDR","PTGDR"
"NM_000954>PTGDS","PTGDS"
"NM_000956>PTGER2","PTGER2"
"NM_000958>PTGER4","PTGER4"
"NM_000960>PTGIR","PTGIR"
"NM_000962>PTGS1","PTGS1"
"NM_000963>PTGS2","PTGS2"
"NM_000964>RARA","RARA"
"NM_000966>RARG","RARG"
"NM_000967>RPL3","RPL3"
"NM_000968>RPL4","RPL4"
"NM_000969>RPL5","RPL5"
"NM_000970>RPL6","RPL6"
"NM_000971>RPL7","RPL7"
"NM_000972>RPL7A","RPL7A"
"NM_000973>RPL8","RPL8"
"NM_000975>RPL11","RPL11"
"NM_000976>RPL12","RPL12"
"NM_000977>RPL13","RPL13"
"NM_000978>RPL23","RPL23"
"NM_000979>RPL18","RPL18"
"NM_000980>RPL18A","RPL18A"
"NM_000981>RPL19","RPL19"
"NM_000982>RPL21","RPL21"
"NM_000983>RPL22","RPL22"
"NM_000984>RPL23A","RPL23A"
"NM_000985>RPL17","RPL17"
"NM_000986>RPL24","RPL24"
"NM_000987>RPL26","RPL26"
"NM_000988>RPL27","RPL27"
"NM_000989>RPL30","RPL30"
"NM_000990>RPL27A","RPL27A"
"NM_000991>RPL28","RPL28"
"NM_000992>RPL29","RPL29"
"NM_000993>RPL31","RPL31"
"NM_000994>RPL32","RPL32"
"NM_000995>RPL34","RPL34"
"NM_000996>RPL35A","RPL35A"
"NM_000997>RPL37","RPL37"
"NM_000998>RPL37A","RPL37A"
"NM_000999>RPL38","RPL38"
"NM_001000>RPL39","RPL39"
"NM_001001323>ATP2B1","ATP2B1"
"NM_001001329>PRKCSH","PRKCSH"
"NM_001001330>REEP3","REEP3"
"NM_001001342>BLOC1S2","BLOC1S2"
"NM_001001349>NKIRAS2","NKIRAS2"
"NM_001001389>CD44","CD44"
"NM_001001390>CD44","CD44"
"NM_001001391>CD44","CD44"
"NM_001001392>CD44","CD44"
"NM_001001396>ATP2B4","ATP2B4"
"NM_001001410>TSR3","TSR3"
"NM_001001415>ZNF429","ZNF429"
"NM_001001418.2>TBC1D3C","TBC1D3C"
"NM_001001418>TBC1D3C","TBC1D3C"
"NM_001001419>SMAD5","SMAD5"
"NM_001001420>SMAD5","SMAD5"
"NM_001001433>STX16","STX16"
"NM_001001436>C16orf87","C16orf87"
"NM_001001437>CCL3L3","CCL3L3"
"NM_001001479>SLC35E4","SLC35E4"
"NM_001001481>UBE2W","UBE2W"
"NM_001001483>ZDHHC13","ZDHHC13"
"NM_001001484>PTER","PTER"
"NM_001001486>ATP2C1","ATP2C1"
"NM_001001487>ATP2C1","ATP2C1"
"NM_001001503>NDUFV3","NDUFV3"
"NM_001001520>HDGFL2","HDGFL2"
"NM_001001521>UGP2","UGP2"
"NM_001001522>TAGLN","TAGLN"
"NM_001001523>RORC","RORC"
"NM_001001547>CD36","CD36"
"NM_001001548>CD36","CD36"
"NM_001001549>GRB10","GRB10"
"NM_001001550>GRB10","GRB10"
"NM_001001551>IDNK","IDNK"
"NM_001001555>GRB10","GRB10"
"NM_001001556>GALK2","GALK2"
"NM_001001560>GGA1","GGA1"
"NM_001001563>TIMM50","TIMM50"
"NM_001001653>MED8","MED8"
"NM_001001660>ETFRF1","ETFRF1"
"NM_001001661>ZNF425","ZNF425"
"NM_001001662>ZNF782","ZNF782"
"NM_001001664>SPOPL","SPOPL"
"NM_001001668>ZNF470","ZNF470"
"NM_001001669>ARHGEF37","ARHGEF37"
"NM_001001671>MAP3K15","MAP3K15"
"NM_001001683>MED11","MED11"
"NM_001001701>C4orf3","C4orf3"
"NM_001001712>LCN10","LCN10"
"NM_001001740>COP1","COP1"
"NM_001001790>TOMM5","TOMM5"
"NM_001001794>DENND6B","DENND6B"
"NM_001001795>C8orf82","C8orf82"
"NM_001001852>PIM3","PIM3"
"NM_001001890>RUNX1","RUNX1"
"NM_001001894>TTC3","TTC3"
"NM_001001895>UBASH3A","UBASH3A"
"NM_001001928>PPARA","PPARA"
"NM_001001935>ATP5F1A","ATP5F1A"
"NM_001001936>AFAP1L2","AFAP1L2"
"NM_001001937>ATP5F1A","ATP5F1A"
"NM_001001957>OR2W3","OR2W3"
"NM_001001973>ATP5F1C","ATP5F1C"
"NM_001001974>PLEKHA1","PLEKHA1"
"NM_001001975>ATP5F1D","ATP5F1D"
"NM_001001976>ATE1","ATE1"
"NM_001001992>USP16","USP16"
"NM_001001998>EXOSC10","EXOSC10"
"NM_001001>RPL36AL","RPL36AL"
"NM_001002000>GMPR2","GMPR2"
"NM_001002001>GMPR2","GMPR2"
"NM_001002002>GMPR2","GMPR2"
"NM_001002009>NT5C3A","NT5C3A"
"NM_001002010>NT5C3A","NT5C3A"
"NM_001002017>HCFC1R1","HCFC1R1"
"NM_001002019>PUS1","PUS1"
"NM_001002020>PUS1","PUS1"
"NM_001002021>PFKL","PFKL"
"NM_001002027>ATP5MC1","ATP5MC1"
"NM_001002029.1>C4B","C4B"
"NM_001002029>C4B","C4B"
"NM_001002030>ECHDC1","ECHDC1"
"NM_001002034>PHETA2","PHETA2"
"NM_001002235>SERPINA1","SERPINA1"
"NM_001002236>SERPINA1","SERPINA1"
"NM_001002243>AFTPH","AFTPH"
"NM_001002245>ANAPC11","ANAPC11"
"NM_001002246>ANAPC11","ANAPC11"
"NM_001002247>ANAPC11","ANAPC11"
"NM_001002248>ANAPC11","ANAPC11"
"NM_001002251>ARL6IP4","ARL6IP4"
"NM_001002252>ARL6IP4","ARL6IP4"
"NM_001002257>LCLAT1","LCLAT1"
"NM_001002258>ATP5MC3","ATP5MC3"
"NM_001002261>ZFYVE27","ZFYVE27"
"NM_001002262>ZFYVE27","ZFYVE27"
"NM_001002264>EPSTI1","EPSTI1"
"NM_001002266>MARCHF8","MARCHF8"
"NM_001002273>FCGR2B","FCGR2B"
"NM_001002274>FCGR2B","FCGR2B"
"NM_001002275>FCGR2B","FCGR2B"
"NM_001002292>WLS","WLS"
"NM_001002295>GATA3","GATA3"
"NM_001002296>GOLGA7","GOLGA7"
"NM_001002755>NFU1","NFU1"
"NM_001002759>SFR1","SFR1"
"NM_001002762>DNAJB12","DNAJB12"
"NM_001002796>MCTP1","MCTP1"
"NM_001002800>SMC4","SMC4"
"NM_001002811>PDE4DIP","PDE4DIP"
"NM_001002812>PDE4DIP","PDE4DIP"
"NM_001002814>RAB11FIP1","RAB11FIP1"
"NM_001002836>ZNF787","ZNF787"
"NM_001002841>MYL4","MYL4"
"NM_001002843>ZNF280D","ZNF280D"
"NM_001002844>ZNF280D","ZNF280D"
"NM_001002847>DERPC","DERPC"
"NM_001002857>ANXA2","ANXA2"
"NM_001002858>ANXA2","ANXA2"
"NM_001002860>BTBD7","BTBD7"
"NM_001002862>DERL3","DERL3"
"NM_001002877>THOC5","THOC5"
"NM_001002878>THOC5","THOC5"
"NM_001002879>THOC5","THOC5"
"NM_001002880>CBY1","CBY1"
"NM_001002909>GPATCH8","GPATCH8"
"NM_001002913>PTRH1","PTRH1"
"NM_001002914>KCTD11","KCTD11"
"NM_001002924>AP3S1","AP3S1"
"NM_001002926>TWISTNB","TWISTNB"
"NM_001002>RPLP0","RPLP0"
"NM_001003406>CACNA1I","CACNA1I"
"NM_001003652>SMAD2","SMAD2"
"NM_001003675>LDLRAD4","LDLRAD4"
"NM_001003676>C11orf49","C11orf49"
"NM_001003677>C11orf49","C11orf49"
"NM_001003678>C11orf49","C11orf49"
"NM_001003679>LEPR","LEPR"
"NM_001003681>HMGXB4","HMGXB4"
"NM_001003684>UQCR10","UQCR10"
"NM_001003692>ZMAT5","ZMAT5"
"NM_001003693>LY6G6F","LY6G6F"
"NM_001003694>BRPF1","BRPF1"
"NM_001003697>ATP5PF","ATP5PF"
"NM_001003698>RREB1","RREB1"
"NM_001003699>RREB1","RREB1"
"NM_001003700>RREB1","RREB1"
"NM_001003703>ATP5PF","ATP5PF"
"NM_001003704>MTFP1","MTFP1"
"NM_001003712>OSBPL8","OSBPL8"
"NM_001003713>ATP5MF","ATP5MF"
"NM_001003715>RECQL5","RECQL5"
"NM_001003722>GLE1","GLE1"
"NM_001003787>STRADA","STRADA"
"NM_001003788>STRADA","STRADA"
"NM_001003789>RABL2B","RABL2B"
"NM_001003791>ERLIN2","ERLIN2"
"NM_001003794>MGLL","MGLL"
"NM_001003795>GTF2IRD2B","GTF2IRD2B"
"NM_001003796>SNU13","SNU13"
"NM_001003799>TARP","TARP"
"NM_001003800>BICD2","BICD2"
"NM_001003802>SMARCD3","SMARCD3"
"NM_001003803>DMAC2L","DMAC2L"
"NM_001003806>TARP","TARP"
"NM_001003810>HNRNPD","HNRNPD"
"NM_001003818>TRIM6","TRIM6"
"NM_001003827>TRIM34","TRIM34"
"NM_001003891>MED15","MED15"
"NM_001003897>MANBAL","MANBAL"
"NM_001003927>EVI2A","EVI2A"
"NM_001003931>PARP3","PARP3"
"NM_001003938>HBM","HBM"
"NM_001003940>BMF","BMF"
"NM_001003941>OGDH","OGDH"
"NM_001003942>BMF","BMF"
"NM_001003943>BMF","BMF"
"NM_001003945>ALAD","ALAD"
"NM_001003962>CAPNS1","CAPNS1"
"NM_001003>RPLP1","RPLP1"
"NM_001004060>NOMO2","NOMO2"
"NM_001004065>PALM2-AKAP2","PALM2-AKAP2"
"NM_001004067.1>NOMO3","NOMO3"
"NM_001004067>NOMO3","NOMO3"
"NM_001004105>GRK6","GRK6"
"NM_001004106>GRK6","GRK6"
"NM_001004127>ALG11","ALG11"
"NM_001004128>QSOX1","QSOX1"
"NM_001004301>ZNF813","ZNF813"
"NM_001004304>ZNF740","ZNF740"
"NM_001004310>FCRL6","FCRL6"
"NM_001004323>C7orf61","C7orf61"
"NM_001004333>RNASEK","RNASEK"
"NM_001004340>FCGR1B","FCGR1B"
"NM_001004358>FGFRL1","FGFRL1"
"NM_001004419>CLEC2D","CLEC2D"
"NM_001004426>PLA2G6","PLA2G6"
"NM_001004431>METRNL","METRNL"
"NM_001004441>ANKRD34B","ANKRD34B"
"NM_001004470>ST8SIA6","ST8SIA6"
"NM_001004720>NCK2","NCK2"
"NM_001004722>NCK2","NCK2"
"NM_001004>RPLP2","RPLP2"
"NM_001005176>SP140","SP140"
"NM_001005207>TRIM37","TRIM37"
"NM_001005242>PKP2","PKP2"
"NM_001005271>CHD3","CHD3"
"NM_001005273>CHD3","CHD3"
"NM_001005290>PSRC1","PSRC1"
"NM_001005291>SREBF1","SREBF1"
"NM_001005332>MAGED1","MAGED1"
"NM_001005335>HNRNPL","HNRNPL"
"NM_001005339>RGS10","RGS10"
"NM_001005354>PRR13","PRR13"
"NM_001005360>DNM2","DNM2"
"NM_001005361>DNM2","DNM2"
"NM_001005362>DNM2","DNM2"
"NM_001005366>KDM2B","KDM2B"
"NM_001005373>LRSAM1","LRSAM1"
"NM_001005374>LRSAM1","LRSAM1"
"NM_001005376>PLAUR","PLAUR"
"NM_001005377>PLAUR","PLAUR"
"NM_001005386>ACTR2","ACTR2"
"NM_001005404>YPEL2","YPEL2"
"NM_001005407>CACNA1H","CACNA1H"
"NM_001005408>NEURL4","NEURL4"
"NM_001005413>ZWINT","ZWINT"
"NM_001005415>MARCHF2","MARCHF2"
"NM_001005416>MARCHF2","MARCHF2"
"NM_001005474>NFKBIZ","NFKBIZ"
"NM_001005476>PKP4","PKP4"
"NM_001005498>RHBDF2","RHBDF2"
"NM_001005502>CPM","CPM"
"NM_001005609>EDA","EDA"
"NM_001005612>EDA","EDA"
"NM_001005735>CHEK2","CHEK2"
"NM_001005738>FPR2","FPR2"
"NM_001005739>VPS54","VPS54"
"NM_001005741>GBA","GBA"
"NM_001005742>GBA","GBA"
"NM_001005743>NUMB","NUMB"
